title,views,time-stamp-upload-milliseconds,time-stamp,date-time-hr,upload-time-hr,upload-time-stamp,description,video-length,video-length-milliseconds,channel
Can leading 2024 candidates remain on top? Political strategists weigh in | The Fox News Rundown,9872,87207000,1683879557658, 2023-05-12 10:19:17.658000, 2023-05-11 10:05:50.658000,1683792350658, A New York jury reached a verdict on Tuesday finding former President Trump liable in E. Jean Caroll’s civil case against him for sexual abuse. The 2024 GOP front-runner responded to the..., 13 minutes 27 seconds,807000,Fox-News
Christie slams Biden over Nashville shooting handling,98343,83339000,1680073357016, 2023-03-29 09:02:37.016000, 2023-03-28 09:53:38.016000,1679990018016, Former Republican New Jersey Gov. Chris Christie says there is ‘no lack’ of gun violence laws that must be ‘enforced.’ #foxnews \n\nSubscribe to Fox News! https://bit.ly/2vBUvAS\nWatch..., 8 minutes 59 seconds,539000,Fox-News
'This is intended to be defensive' NATO's largest ever European air drills | DW News,68638,259845000,1686590964011, 2023-06-12 19:29:24.011000, 2023-06-09 19:18:39.011000,1686331119011, Germany is set to host NATO's largest air force deployment over Europe in the alliance's history officials said on Wednesday. The Air Defender 23 exercise is scheduled to start on Monday...., 10 minutes 45 seconds,645000,DW-News
Frank Siller reveals families Tunnel to Towers helped this Memorial Day,10103,86791000,1685382746605, 2023-05-29 19:52:26.605000, 2023-05-28 19:45:55.605000,1685295955605, Tunnel to Towers CEO Frank Siller sits down with Brian Kilmeade to share how his organization is serving veterans and families this Memorial Day on 'One Nation.'\n#foxnews #onenation \n\nSubscribe..., 6 minutes 31 seconds,391000,Fox-News
Xi Raises 8-Point Proposal for China-Central Asia Cooperation,2071,173274000,1684743675466, 2023-05-22 10:21:15.466000, 2023-05-20 10:13:21.466000,1684570401466, Chinese President Xi Jinping put forward an eight-point proposal for China-Central Asia cooperation in the new era at the China-Central Asia Summit in Xian of northwestern Shaanxi Province..., 7 minutes 54 seconds,474000,CCTV-Video-News-Agency
Biden 'Conspiracy Theory' Turns Out To Be True | Guy Benson Show,30725,87300000,1682499563030, 2023-04-26 10:59:23.030000, 2023-04-25 10:44:23.030000,1682412263030, Biden 'Conspiracy Theory' Turns Out To Be True | Guy Benson Show\n\nSubscribe to Fox News! https://bit.ly/2vBUvAS\nWatch more Fox News Video: http://video.foxnews.com\nWatch Fox News Channel Live:..., 15 minutes 14 seconds,914000,Fox-News
Chinese Peacekeeping Force Completes Un Staff Evacuation Mission in Sudan,139,2405000,1683452871745, 2023-05-07 11:47:51.745000, 2023-05-07 11:07:46.745000,1683450466745, A Chinese peacekeeping unit based in the disputed border area of Abyei between Sudan and South Sudan has completed the missions of evacuating United Nations' staff members stranded in Abu Qussa..., 1 minute 5 seconds,65000,CCTV-Video-News-Agency
Serbian president set to meet ambassadors from several countries to discuss tensions in Kosovo,7442,79719000,1685533033330, 2023-05-31 13:37:13.330000, 2023-05-30 15:28:34.330000,1685453314330, Serbia's president has met with the ambassadors of several countries to discuss escalating tensions in northern Kosovo.\nPolice have been deployed outside the city hall in Zvecan for a second..., 8 minutes 39 seconds,519000,Al-Jazeera-English
Russia acknowledges retreat around parts of Bakhmut,381974,259457000,1684242461883, 2023-05-16 15:07:41.883000, 2023-05-13 15:03:24.883000,1683983004883, The Russian Ministry of Defense has acknowledged its forces pulled back from areas north of the embattled eastern city of Bakhmut claiming they moved to more advantageous defensive positions...., 4 minutes 17 seconds,257000,CNN-News
‘Most fearless’ fighting in Sudan after 24-hour ceasefire ends,29281,86735000,1686650716241, 2023-06-13 12:05:16.241000, 2023-06-12 11:59:41.241000,1686563981241, Fighting has resumed with renewed intensity following a brief period of respite on Saturday the quietest since Sudan broke out into conflict nearly eight weeks ago when a rivalry between the..., 5 minutes 35 seconds,335000,Al-Jazeera-English
Xi Spanish PM Agree to Deepen Mutually Beneficial Cooperation,2446,172963000,1680506430968, 2023-04-03 09:20:30.968000, 2023-04-01 09:17:47.968000,1680333467968, Chinese President Xi Jinping met with visiting Spanish Prime Minister Pedro Sanchez in Beijing on Friday with both sides pledging to deepen mutually beneficial cooperation.\n\nhttps://www.cctvplus.c..., 2 minutes 43 seconds,163000,CCTV-Video-News-Agency
Blagojevich: This is the apocalypse of our democracy,140223,86620000,1680731183690, 2023-04-05 23:46:23.690000, 2023-04-04 23:42:43.690000,1680644563690, Former Illinois Gov. Rod Blagojevich (D) whose federal prison sentence for corruption was commuted by Trump in 2020 calls out the indictment ahead of the former president's arraignment. #FoxNews..., 3 minutes 40 seconds,220000,Fox-News
Kayleigh McEnany: This was a total fail by Karine Jean-Pierre,296416,86790000,1686170251490, 2023-06-07 22:37:31.490000, 2023-06-06 22:31:01.490000,1686083461490, The 'Outnumbered' panel discusses ongoing concerns over Biden's age and Democrats' push to fix Kamala Harris' 'image problem.' #FoxNews\n\nSubscribe to Fox News! https://bit.ly/2vBUvAS\nWatch..., 6 minutes 30 seconds,390000,Fox-News
Joe Concha predicts 'arms race' to weaponize artificial intelligence,27684,86739000,1682010792967, 2023-04-20 19:13:12.967000, 2023-04-19 19:07:33.967000,1681924053967, Fox News contributor Joe Concha joins 'Fox \u0026 Friends First' to discuss Elon Musk's warning that artificial intelligence could threaten elections and his concerns on the declining birth rate...., 5 minutes 39 seconds,339000,Fox-News
Joint Commissioning Testing Starts on Jakarta-Bandung High-Speed Railway,33664,86492000,1684995450450, 2023-05-25 08:17:30.450000, 2023-05-24 08:15:58.450000,1684908958450, The milestone Jakarta-Bandung High-Speed Railway (HSR) in Indonesia began joint commissioning and testing on Monday paving the way for the planned operation of the entire line in June.\nhttps://www..., 1 minute 32 seconds,92000,CCTV-Video-News-Agency
China-Russia Aboveboard Relationship in Sharp Contrast to U.S. Building of Exclusionary Blocs,1357,172882000,1679888692338, 2023-03-27 05:44:52.338000, 2023-03-25 04:43:30.338000,1679715810338, The cooperation between China and Russia is made amid an aboveboard relationship which is in sharp contrast to the doings of the U.S. which has been piecing together exclusionary selfish..., 1 minute 22 seconds,82000,CCTV-Video-News-Agency
Russia accuses Ukraine of trying to assassinate President Vladimir Putin - BBC News,626610,172885000,1683366606816, 2023-05-06 11:50:06.816000, 2023-05-04 11:48:41.816000,1683193721816, Russia says two drones attacked the Kremlin in Moscow last night in what it alleges was a Ukrainian attempt to kill President Vladimir Putin.\n\nThe Kremlin claimed two drones had been used in..., 1 minute 25 seconds,85000,BBC-News
Conflict Continues in Sudan Despite New Ceasefire Agreement,320,259260000,1682431299961, 2023-04-25 16:01:39.961000, 2023-04-22 16:00:39.961000,1682172039961, Sounds of gunfire still could still be heard in Khartoum Sudan on Friday despite a newly-reached 72-hour ceasefire agreement between the Sudanese Armed Forces (SAF) and the paramilitary Rapid..., 1 minute,60000,CCTV-Video-News-Agency
Ukraine update: Nightly airstrikes on Kyiv Ukraine claims advances around Bakhmut | DW News,291029,173407000,1684445523528, 2023-05-18 23:32:03.528000, 2023-05-16 23:21:56.528000,1684272116528," Russia has launched overnight air strikes on Kyiv that Ukrainian officials are describing as \""exceptionally intense.\"" \n\nThe head of Kyiv's military administration says Russia used drones cruise...", 10 minutes 7 seconds,607000,DW-News
Sound Stable China-US Relationship in Interests of Both Countries: Ambassador,1729,86467000,1685091207780, 2023-05-26 10:53:27.780000, 2023-05-25 10:52:20.780000,1685004740780, A sound and stable China-U.S. relationship is in the interests of both countries and also a shared expectation of the international community and a major contribution to world peace and prosperity..., 1 minute 7 seconds,67000,CCTV-Video-News-Agency
Disney CEO calls out DeSantis in ongoing clash,19663,72168000,1683946696849, 2023-05-13 04:58:16.849000, 2023-05-12 08:55:28.849000,1683874528849, FOX Business senior correspondent Charlie Gasparino weighs in on the ongoing feud between Disney and Republican Florida Gov. Ron DeSantis on 'Your World with Neil Cavuto.'\n#foxnews #fox\n\nSubscribe..., 2 minutes 48 seconds,168000,Fox-News
What are the repercussions of Fathi Bashagha's suspension? | Inside Story,3053,88080000,1684431910427, 2023-05-18 19:45:10.427000, 2023-05-17 19:17:10.427000,1684343830427, Libya has been divided between two governments and two prime ministers. \r\nOne of them has been suspended.  \r\nNow some analysts are warning another power struggle could emerge.\r\nSo how will..., 28 minutes 26 seconds,1706000,Al-Jazeera-English
Teenage shooter kills at least 9 in Belgrade police say | DW News,46539,173131000,1683335671638, 2023-05-06 03:14:31.638000, 2023-05-04 03:09:00.638000,1683162540638, Police said eight children and a security guard were killed when a teenage boy opened fire at a school in Serbia's capital of Belgrade on Wednesday. At least six additional children and one..., 5 minutes 31 seconds,331000,DW-News
Trump 2024 challenger: This is an assault on American identity,20414,86564000,1682769228072, 2023-04-29 13:53:48.072000, 2023-04-28 13:51:04.072000,1682682664072, GOP presidential candidate Vivek Ramaswamy reacts to nearly 700 professors signing a letter saying they will not talk about America's founding and Constitution on 'Jesse Watters Primetime.'..., 2 minutes 44 seconds,164000,Fox-News
This is the absentee presidency: Concha,65759,86790000,1683329334145, 2023-05-06 01:28:54.145000, 2023-05-05 01:22:24.145000,1683242544145, 'Cut to the Chase' podcast host Laura Curran Fox News contributor Joe Concha and political analyst Gianno Caldwell discuss Biden's 2024 efforts after a poll showed 28% of Democratic primary..., 6 minutes 30 seconds,390000,Fox-News
UN calls for new body to find 100000 'disappeared' Syrians,4111,86538000,1680184561140, 2023-03-30 15:56:01.140000, 2023-03-29 15:53:43.140000,1680098023140, Estimates suggest about 100000 Syrians have gone missing during the prolonged war in the country. Now the United Nations is pushing for answers.\r\n \r\nAl Jazeera's Diplomatic Editor James Bays..., 2 minutes 18 seconds,138000,Al-Jazeera-English
US judges issue conflicting rulings on access to abortion pills,3102,172896000,1681143459262, 2023-04-10 18:17:39.262000, 2023-04-08 18:16:03.262000,1680970563262, In the United States two competing court rulings have raised confusion about the future of a widely used abortion pill. \r\nOn Friday a judge in Texas ordered drug regulators to put a hold..., 1 minute 36 seconds,96000,Al-Jazeera-English
What this year's victory day in Russia was all about | DW News,312952,47415000,1683701697388, 2023-05-10 08:54:57.388000, 2023-05-09 19:44:42.388000,1683654282388," In a speech from Red Square to mark Victory Day Russian President Vladimir Putin said the world is again at a \""turning point.\"" \""Today civilization is again at a decisive turning point. A...", 10 minutes 15 seconds,615000,DW-News
Russian blogger believed to be killed by exploding statue | Al Jazeera Newsfeed,12010,86475000,1680665927973, 2023-04-05 05:38:47.973000, 2023-04-04 05:37:32.973000,1680579452973, The explosion that killed a prominent Russian military blogger in St Petersburg is believed to have been from a bomb hidden within a statue given to him just moments earlier. Authorities say..., 1 minute 15 seconds,75000,Al-Jazeera-English
‘Gutfeld!’: A 260-year precedent was broken,265715,87219000,1680760951830, 2023-04-06 08:02:31.830000, 2023-04-05 07:48:52.830000,1680673732830, Fox News' Jimmy Failla shares the political implications of former President Donald Trump's indictment on 'Gutfeld!' #foxnews #fox #gutfeld \n\nSubscribe to Fox News! https://bit.ly/2vaBUvAS..., 13 minutes 39 seconds,819000,Fox-News
Top Republican says Trump winning primary will hand Biden re-election,32366,79670000,1686193800648, 2023-06-08 05:10:00.648000, 2023-06-07 07:02:10.648000,1686114130648, New Hampshire Gov. Chris Sununu sounds off on 'Your World' after opting not to run for the White House in 2024. #foxnews #yourworld  \n\nSubscribe to Fox News! https://bit.ly/2vaBUvAS\nWatch more..., 7 minutes 50 seconds,470000,Fox-News
Former Moscow correspondent predicts WSJ reporter’s fate,48831,86720000,1680481979657, 2023-04-03 02:32:59.657000, 2023-04-02 02:27:39.657000,1680395259657, Former NPR Moscow correspondent Lucian Kim discusses Russia arresting Wall Street Journal reporter Evan Gershkovich on espionage charges and predicts what fate the journalist could face. #foxnews..., 5 minutes 20 seconds,320000,Fox-News
Trump charged under Espionage Act for taking US nuclear secrets  - BBC News,159826,346040000,1686768736396, 2023-06-14 20:52:16.396000, 2023-06-10 20:44:56.396000,1686422696396, Federal prosecutors have brought 37 charges against Donald Trump.  He’s the first ever former President to face federal criminal prosecution.  \n\nMr Trump is accused of retaining top secret..., 7 minutes 20 seconds,440000,BBC-News
China Urges US to Respect Will of Middle East People Stop Sowing Discord: Spokesman,3378,172853000,1683903133851, 2023-05-12 16:52:13.851000, 2023-05-10 16:51:20.851000,1683730280851, China urged the United States to respect the will of the Middle East people stop practicing coercive diplomacy and stop all attempts to split the region by sowing discord said a Chinese Foreign..., 53 seconds,53000,CCTV-Video-News-Agency
US debt ceiling bill approved by Senate - BBC News,24390,345826000,1686069542225, 2023-06-06 18:39:02.225000, 2023-06-02 18:35:16.225000,1685723716225, The US Senate has passed a bipartisan debt limit bill to avoid a default after weeks of tense negotiations.\n\nThe bill suspends the US debt ceiling for two years deferring the decision to raise..., 3 minutes 46 seconds,226000,BBC-News
Hear Zelensky’s response to Russia’s claim that Ukraine targeted Putin,392844,173409000,1683313924277, 2023-05-05 21:12:04.277000, 2023-05-03 21:01:55.277000,1683140515277, Ukraine says it has no knowledge of an alleged attempted drone strike on the Kremlin in Moscow adding that it does not use its means to attack other countries.  #CNN #News, 10 minutes 9 seconds,609000,CNN-News
At least 7 killed 11 injured in Texas car crash in border town,399986,86579000,1683581882445, 2023-05-08 23:38:02.445000, 2023-05-07 23:35:03.445000,1683495303445, Fox News’ Griff Jenkins reports on the deadly Texas car crash and the driver now being in police custody after hitting people believed to be migrants waiting at a bus station. #foxnews..., 2 minutes 59 seconds,179000,Fox-News
Kilmeade: Past elections show 2024 is 'just getting started',23191,86703000,1684769021281, 2023-05-22 17:23:41.281000, 2023-05-21 17:18:38.281000,1684682318281, Fox News host Brian Kilmeade discusses why he believes the 2024 races are just getting started while looking back at previous presidential campaign upsets on 'One Nation.'\n#foxnews #onenation..., 5 minutes 3 seconds,303000,Fox-News
‘The Five’: Welcome back Jesse Watters!,198011,83293000,1683062720868, 2023-05-02 23:25:20.868000, 2023-05-02 00:17:07.868000,1682979427868, ‘The Five’ co-hosts give a big welcome back to Jesse Watters after he and his wife had their baby daughter.\n\nSubscribe to Fox News! https://bit.ly/2vaBUvAS\nWatch more Fox News Video: http://vid..., 8 minutes 13 seconds,493000,Fox-News
Brawls and red cards in chaotic SEA Games football final | Al Jazeera Newsfeed,191261,86482000,1684413782063, 2023-05-18 14:43:02.063000, 2023-05-17 14:41:40.063000,1684327300063, Thailand’s Football Association has apologised after the Southeast Asian Games final that saw Indonesia’s 5-2 extra-time win against Thailand interrupted by brawls and 4 red cards. \r\n..., 1 minute 22 seconds,82000,Al-Jazeera-English
Chinese company Cosco acquires stake in Hamburg port terminal | DW Business,28186,259890000,1684075493335, 2023-05-14 16:44:53.335000, 2023-05-11 16:33:23.335000,1683815603335, Chinese state-owned company Cosco has got the green light to acquire just under a quarter of a stake in a container terminal at Germany's biggest port of Hamburg. The decision comes after months..., 11 minutes 30 seconds,690000,DW-News
White House claps back at Whistleblower's bombshell 'pay-to-play' claims,513589,86987000,1683322081335, 2023-05-05 23:28:01.335000, 2023-05-04 23:18:14.335000,1683235094335, Fox News White House correspondent Peter Doocy reports on a whistleblower talking with the FBI and the Department of Justice about the Biden family as Republican lawmakers attempt to obtain..., 9 minutes 47 seconds,587000,Fox-News
Kazakh President Reaffirms Taiwan as Part of China Supports Eventual Chinese Reunification,1313,172863000,1684142729083, 2023-05-15 11:25:29.083000, 2023-05-13 11:24:26.083000,1683969866083, Kazakh President Kassym-Jomart Tokayev has reaffirmed that Taiwan is part of China and reunification will take place sooner or later.\n\nhttps://www.cctvplus.com/news/20230513/8324270.shtml#!languag..., 1 minute 3 seconds,63000,CCTV-Video-News-Agency
EU strikes deal to end import ban on Ukrainian grain | DW News,72671,173233000,1683209603699, 2023-05-04 16:13:23.699000, 2023-05-02 16:06:10.699000,1683036370699, The European Union has struck a deal to end a row that had been blocking imports of Ukrainian agricultural products. EU states bordering Ukraine had been torn between helping their neighbour..., 7 minutes 13 seconds,433000,DW-News
Thousands flee Sudan to seek refuge in neighbouring Chad,17383,86911000,1682442215646, 2023-04-25 19:03:35.646000, 2023-04-24 18:55:04.646000,1682355304646, Chad's communications minister and government spokesperson Aziz Mahamat Saleh told Agence France-Presse (AFP) that between 10000 and 20000 people had been welcomed in mainly in the Assoungha..., 8 minutes 31 seconds,511000,Al-Jazeera-English
Gutfeld: You won't believe what the Biden admin wants $25M for,371975,87248000,1682250513651, 2023-04-23 13:48:33.651000, 2023-04-22 13:34:25.651000,1682163265651, Fox News host Greg Gutfeld goes over this week's leftovers and 'Gutfeld!' panelists react to Secretary of Transportation Pete Buttigieg’s initiative to address ‘gender inequity’ by promoting..., 14 minutes 8 seconds,848000,Fox-News
Tens of thousands rally in Moldova for EU membership,6094,86521000,1684840643732, 2023-05-23 13:17:23.732000, 2023-05-22 13:15:22.732000,1684754122732, Thousands of people have rallied in Moldova's capital Chisinau to back the government’s drive to join the European Union.\nDemonstrators called on political leaders to amend the constitution..., 2 minutes 1 second,121000,Al-Jazeera-English
Biden is trying to take credit for Trump's decision: Hemingway,133234,86932000,1680998383515, 2023-04-09 01:59:43.515000, 2023-04-08 01:50:51.515000,1680911451515, Mollie Hemingway editor-in-chief of The Federalist joins 'The Faulkner Focus' to discuss the White House's review of the withdrawal from Afghanistan. #FoxNews\n\nSubscribe to Fox News! https://bit...., 8 minutes 52 seconds,532000,Fox-News
Iranian weapons programme: Tehran unveils first hypersonic ballistic missile,119481,82988000,1686123065172, 2023-06-07 09:31:05.172000, 2023-06-06 10:27:57.172000,1686040077172, Iran unveils what it says is its first domestically made hypersonic ballistic missile.\nHypersonic missile can fly on complex trajectories at least five times faster than the speed of sound...., 3 minutes 8 seconds,188000,Al-Jazeera-English
Opposition to Israel’s judicial reforms grows,12904,86575000,1679857838925, 2023-03-26 21:10:38.925000, 2023-03-25 20:07:43.925000,1679771263925, In Israel opposition to the government's proposed judicial changes is growing by the day. \r\nThe first law passed on Thursday shields the prime minister limiting the ways he or she can be..., 2 minutes 55 seconds,175000,Al-Jazeera-English
How could the quantum technology race change our future? - BBC Newsnight,28149,345952000,1686761480957, 2023-06-14 18:51:20.957000, 2023-06-10 18:45:28.957000,1686415528957, There have been recent suggestions that the UK government is underinvesting in new microchip technology compared to the EU or US. But what if they've had a better idea and are instead backing..., 5 minutes 52 seconds,352000,BBC-News
Russia attack on Ukraine port Odesa leaves civilians dead – BBC News,36802,86610000,1686830337125, 2023-06-15 13:58:57.125000, 2023-06-14 13:55:27.125000,1686743727125, At least three people have been killed and 13 injured in a relatively rare Russian attack on the Black Sea port of Odesa\n\nThree more civilians were killed overnight in the eastern Donetsk region..., 3 minutes 30 seconds,210000,BBC-News
Pope Francis hospitalised for abdominal surgery,1125,86492000,1686242744672, 2023-06-08 18:45:44.672000, 2023-06-07 18:44:12.672000,1686156252672, Pope Francis is at a hospital in Rome preparing for abdominal surgery the Vatican press office has said.\r\nThe procedure was agreed in previous days by the medical team assisting the pontiff..., 1 minute 32 seconds,92000,Al-Jazeera-English
G7 Urged to Earnestly Act on Commitment of Not Decoupling from China: Spokeswoman,876,172887000,1685237862310, 2023-05-28 03:37:42.310000, 2023-05-26 03:36:15.310000,1685064975310, China hopes that the Group of Seven (G7) will earnestly act on their commitment of not seeking to decouple from China said a Chinese Commerce Ministry spokeswoman on Thursday.\n\nhttps://www.cctvplu..., 1 minute 27 seconds,87000,CCTV-Video-News-Agency
'Kind of pathetic': Advocate calls out Supreme Court justice's defense,199888,172995000,1682023480766, 2023-04-20 22:44:40.766000, 2023-04-18 22:41:25.766000,1681850485766, A source close to Justice Clarence Thomas says he plans to amend his disclosure forms to acknowledge a 2014 land deal with a GOP megadonor. CNN's Brian Todd has more. #CNN #News, 3 minutes 15 seconds,195000,CNN-News
‘The Five’: Biden is coming for your home,350675,86819000,1682125219409, 2023-04-22 03:00:19.409000, 2023-04-21 02:53:20.409000,1682038400409, 'The Five' co-hosts discuss the Biden administration's plans to have homebuyers with good credit subsidize risky mortgages. #foxnews #fox #thefive \n\nSubscribe to Fox News! https://bit.ly/2vaBUvAS..., 6 minutes 59 seconds,419000,Fox-News
Neil deGrasse Tyson says this Chinese move is putting pressure on NASA,38454,173144000,1685728501533, 2023-06-02 19:55:01.533000, 2023-05-31 19:49:17.533000,1685555357533, World-renowned astrophysicist Neil deGrasse Tyson sits down with CNN's Poppy Harlow and Erica Hill to discuss China sending its first civilian astronaut into orbit as it launched the Shenzhou-16..., 5 minutes 44 seconds,344000,CNN-News
How the world’s faiths are mobilising to protect our planet | earthrise,1225,87900000,1682307659753, 2023-04-24 05:40:59.753000, 2023-04-23 05:15:59.753000,1682219759753, With nearly 85 percent of the global population claiming affiliation with a faith how are the world’s religions taking action on the climate and nature crises?\r\n\r\nStarting with a summer..., 25 minutes 20 seconds,1520000,Al-Jazeera-English
A counteroffensive by Ukraine looms. Here's what a CNN reporter sees from the front lines,15844,4165000,1683247718125, 2023-05-05 02:48:38.125000, 2023-05-05 01:39:13.125000,1683243553125, CNN's Nick Paton Walsh offers a glimpse into the front lines of Russia's war with Ukraine as a Ukrainian counteroffensive looms. CNN's Wolf Blitzer discusses with John Kirby the National Security..., 9 minutes 25 seconds,565000,CNN-News
How a historic general strike brought Israel to a standstill,134089,173159000,1680170061095, 2023-03-30 11:54:21.095000, 2023-03-28 11:48:22.095000,1679996902095," Israel's political crisis escalated into uncharted territory as the country's largest trade union announced a \""historic\"" strike shutting down transportation universities restaurants and retailers...", 5 minutes 59 seconds,359000,CNN-News
Gutfeld: Who invited these idiots?,217967,51201000,1686768738103, 2023-06-14 20:52:18.103000, 2023-06-14 06:38:57.103000,1686717537103, Fox News host Greg Gutfeld looks at the growing influence of the transgender movement and highlights a transgender activist going topless at a White House Pride event on ‘Gutfeld!’ #foxnews..., 13 minutes 21 seconds,801000,Fox-News
California considers slavery reparations for Black Americans,3085,86567000,1681028291900, 2023-04-09 10:18:11.900000, 2023-04-08 10:15:24.900000,1680941724900, California is the first US state to begin a process to consider reparations for Black Americans whose ancestors suffered under slavery segregation and discrimination. \r\nAl Jazeera’s Rob..., 2 minutes 47 seconds,167000,Al-Jazeera-English
Philippines volcano: Residents flee as eruption threat looms,11930,86737000,1686584631024, 2023-06-12 17:43:51.024000, 2023-06-11 17:38:14.024000,1686497894024, More than 6000 villagers have been forced to leave rural communities within a six-kilometre (3.7-mile) radius of the Mayon volcano’s crater in northeastern Albay province in the Philippines...., 5 minutes 37 seconds,337000,Al-Jazeera-English
At least 19 children killed in Guyana school dormitory fire,8425,86494000,1684911311219, 2023-05-24 08:55:11.219000, 2023-05-23 08:53:37.219000,1684824817219," Guyana's police chief says initial investigations show a fire at a secondary school dormitory that killed at least 19 people was \""maliciously set\"".\nMost of those killed in the town of Mahdia...", 1 minute 34 seconds,94000,Al-Jazeera-English
The technology powering the Alpine F1 Team - BBC News,39166,345942000,1680162811741, 2023-03-30 09:53:31.741000, 2023-03-26 09:47:49.741000,1679816869741, As this year's Formula 1 season revs up Click has exclusive access to the Alpine F1 Team to explore the tech behind the racing.\n\nThis clip is from Click - the BBC’s flagship technology programme..., 5 minutes 42 seconds,342000,BBC-News
Yemen’s Houthis Saudi Arabia exchange hundreds of war prisoners,61579,86524000,1681637874901, 2023-04-16 11:37:54.901000, 2023-04-15 11:35:50.901000,1681551350901, The release and swap of nearly 900 detainees by the two sides in Yemen’s conflict has begun a significant confidence-building measure as peace talks between Saudi envoys and Houthi rebels..., 2 minutes 4 seconds,124000,Al-Jazeera-English
Gwyneth Paltrow awarded $1 and cleared of fault over ski crash  - BBC News,54029,345713000,1680614275396, 2023-04-04 15:17:55.396000, 2023-03-31 15:16:02.396000,1680268562396, Actress Gwyneth Paltrow has thanked jurors who found her not liable for a 2016 ski crash at a resort in the US state of Utah.\n\nRetired optometrist Terry Sanderson 76 had said the Hollywood..., 1 minute 53 seconds,113000,BBC-News
US Congress Pulling Biden Administration in Very Negative Direction on Taiwan Region: Expert,11545,172900000,1680595245631, 2023-04-04 10:00:45.631000, 2023-04-02 09:59:05.631000,1680422345631, A China-U.S. relations expert said the U.S. government should make efforts to smother the Congress' contact with the leader of the Taiwan region to get its attitude toward the island back on..., 1 minute 40 seconds,100000,CCTV-Video-News-Agency
"Myanmar parades military and issues warning to \""terrorists\"" | Al Jazeera Newsfeed",26993,86498000,1680032589644, 2023-03-28 21:43:09.644000, 2023-03-27 21:41:31.644000,1679946091644, An Al Jazeera crew was allowed into Myanmar to witness a huge military parade as its leader issued a warning to those resisting military rule.\r\n\r\nSubscribe to our channel  http://bit.ly/AJSubscrib..., 1 minute 38 seconds,98000,Al-Jazeera-English
NATO soldiers injured in Kosovo clashes with Serb protesters,57509,86728000,1685504968727, 2023-05-31 05:49:28.727000, 2023-05-30 05:44:00.727000,1685418240727, Twenty-five soldiers from a NATO-led peacekeeping force were injured in clashes with Serb protesters while defending three town halls in northern Kosovo while Serbia’s president put the..., 5 minutes 28 seconds,328000,Al-Jazeera-English
Kevin McCarthy: Why can’t we be proud of America?,42832,83056000,1680065198792, 2023-03-29 06:46:38.792000, 2023-03-28 07:42:22.792000,1679982142792, House Speaker Kevin McCarthy addresses the decline of patriotism and American values in the U.S. on ‘Jesse Watters Primetime.’\n\nSubscribe to Fox News! https://bit.ly/2vBUvAS\nWatch more..., 4 minutes 16 seconds,256000,Fox-News
Here's why Haley thinks DeSantis is going after Disney,71030,87060000,1686104047936, 2023-06-07 04:14:07.936000, 2023-06-06 04:03:07.936000,1686016987936, Republican presidential candidate Nikki Haley criticized her political opponent Florida Gov. Ron DeSantis for his stance on Disney during a CNN town hall. #CNN #News, 11 minutes,660000,CNN-News
Iran Saudi Arabia to Exchange Heads-of-State Visits Amid Rapprochement,686,172864000,1681983544955, 2023-04-20 11:39:04.955000, 2023-04-18 11:38:00.955000,1681810680955, The Iranian Foreign Ministry said on Monday that Iran and Saudi Arabia will exchange mutual visits including top-level ones as part of efforts to fully restore bilateral ties and in line..., 1 minute 4 seconds,64000,CCTV-Video-News-Agency
Ex-president Toledo returns to Peru after US extradition,8269,86678000,1682418526982, 2023-04-25 12:28:46.982000, 2023-04-24 12:24:08.982000,1682331848982, Former Peruvian President Alejandro Toledo has returned to Peru from the United States to face charges of money laundering and corruption during his mandate.\r\nThe 77-year-old who served as..., 4 minutes 38 seconds,278000,Al-Jazeera-English
Fox News settles Dominion defamation lawsuit for $787.5 million | DW News,28875,259420000,1682167846977, 2023-04-22 14:50:46.977000, 2023-04-19 14:47:06.977000,1681908426977, Fox News has reached a settlement with voting machine maker Dominion in a defamation case over 2020 election coverage a US judge announced on Tuesday. A jury had been selected just hours before..., 3 minutes 40 seconds,220000,DW-News
NC Democrat switches parties giving GOP veto-proof supermajority in state House,85436,86939000,1680915900377, 2023-04-08 03:05:00.377000, 2023-04-07 02:56:01.377000,1680828961377, After a North Carolina state lawmaker switched from the state’s Democratic party to the Republican party CNN’s panel led by Alisyn Camerota questions whether voters were ‘hoodwinked’...., 8 minutes 59 seconds,539000,CNN-News
Chile's conservative assembly begins drafting new constitution,647,86548000,1686299903292, 2023-06-09 10:38:23.292000, 2023-06-08 10:35:55.292000,1686213355292, Chile is back to the drawing board to try to replace its constitution - the second attempt in less than a year. \nA new electoral council will have six months to present a new draft.\n\nAl Jazeera’s..., 2 minutes 28 seconds,148000,Al-Jazeera-English
California caste law: US state taking on caste-based discrimination,6810,86573000,1683516416539, 2023-05-08 05:26:56.539000, 2023-05-07 05:24:03.539000,1683429843539, California may become the first jurisdiction in the United States to bar discrimination based on caste.\nThe caste system is a centuries-old tradition that began within Hinduism and also influenced..., 2 minutes 53 seconds,173000,Al-Jazeera-English
Sudan unrest: Army approves passage for urgent humanitarian cases,185524,86918000,1681802188167, 2023-04-18 09:16:28.167000, 2023-04-17 09:07:50.167000,1681715270167, The Sudanese army says it has approved a proposal from the United Nations to open a safe passage for urgent humanitarian cases for three hours every day starting from 16:00 local time (1400..., 8 minutes 38 seconds,518000,Al-Jazeera-English
